role_bucket,k,silhouette,min_cluster_share,adjusted_score,note,selected_k,status,n_players,n_metrics
CB,3,0.1901626352180639,0.26237518589335035,0.1901626352180639,,3,clustered,4707,11
CB,4,0.12265489415419939,0.18929254302103252,0.12265489415419939,,3,clustered,4707,11
CB,5,0.1483966671845187,0.14489058848523476,0.1483966671845187,,3,clustered,4707,11
CB,6,0.12380154512150272,0.09751434034416825,0.12380154512150272,,3,clustered,4707,11
CB,7,0.133063894354492,0.09050350541746335,0.133063894354492,,3,clustered,4707,11
CB,8,0.11902992412041244,0.08434246866369237,0.11902992412041244,,3,clustered,4707,11
FB,3,0.17872228755178843,0.2584916522740357,0.17872228755178843,,3,clustered,3474,14
FB,4,0.13785403569618696,0.1445020149683362,0.13785403569618696,,3,clustered,3474,14
FB,5,0.14411464974391971,0.11341393206678181,0.14411464974391971,,3,clustered,3474,14
FB,6,0.15045162002858767,0.09412780656303972,0.15045162002858767,,3,clustered,3474,14
FB,7,0.12552329150624428,0.08520437535981577,0.12552329150624428,,3,clustered,3474,14
FB,8,0.11885851495175162,0.04807138744962579,0.11885851495175162,,3,clustered,3474,14
MF,3,0.17477861628172814,0.21972789115646257,0.17477861628172814,,4,clustered,5880,17
MF,4,0.1921119973962708,0.12670068027210885,0.1921119973962708,,4,clustered,5880,17
MF,5,0.17282793303505645,0.08452380952380953,0.17282793303505645,,4,clustered,5880,17
MF,6,0.1551153640770645,0.06819727891156463,0.1551153640770645,,4,clustered,5880,17
MF,7,0.1432131155705962,0.05476190476190476,0.1432131155705962,,4,clustered,5880,17
MF,8,0.1320730835194718,0.04608843537414966,0.1320730835194718,,4,clustered,5880,17
AM,3,0.21284432604191295,0.3003021148036254,0.21284432604191295,,3,clustered,1655,16
AM,4,0.1454328487118104,0.1540785498489426,0.1454328487118104,,3,clustered,1655,16
AM,5,0.13786560134108944,0.1256797583081571,0.13786560134108944,,3,clustered,1655,16
AM,6,0.12954089438979732,0.07854984894259819,0.12954089438979732,,3,clustered,1655,16
AM,7,0.11787944206370222,0.08882175226586103,0.11787944206370222,,3,clustered,1655,16
AM,8,0.10810585615579939,0.05861027190332326,0.10810585615579939,,3,clustered,1655,16
W,3,0.16007364594248127,0.2102496714848883,0.16007364594248127,,3,clustered,3044,19
W,4,0.12227949364224033,0.18692509855453351,0.12227949364224033,,3,clustered,3044,19
W,5,0.09981660681573865,0.16655716162943496,0.09981660681573865,,3,clustered,3044,19
W,6,0.09972240617557651,0.06800262812089355,0.09972240617557651,,3,clustered,3044,19
W,7,0.09553912812649812,0.066688567674113,0.09553912812649812,,3,clustered,3044,19
W,8,0.10137123768506888,0.06997371879106438,0.10137123768506888,,3,clustered,3044,19
FW,3,0.17459346250160457,0.19321394910461828,0.17459346250160457,,3,clustered,3183,15
FW,4,0.15700792107150868,0.1486019478479422,0.15700792107150868,,3,clustered,3183,15
FW,5,0.13595324880292958,0.11687087653157399,0.13595324880292958,,3,clustered,3183,15
FW,6,0.11199964337666929,0.053408733898837574,0.11199964337666929,,3,clustered,3183,15
FW,7,0.11878668750688608,0.04115614200439836,0.11878668750688608,,3,clustered,3183,15
FW,8,0.11685372252704114,0.038956958843858,0.11685372252704114,,3,clustered,3183,15
